item;realizacao;correcao;valor;classe;sexo;participante;periodo
pouco;nao;nao;nao morfemico;nao verbo;masculino;15M19;final
passageira;sim;nao;nao morfemico;nao verbo;masculino;15M19;final
beijava;sim;nao;morfemico;verbo;masculino;15M19;final
apaixonadamente;nao;nao;nao morfemico;nao verbo;masculino;15M19;final
deitado;sim;nao;nao morfemico;nao verbo;masculino;15M19;final
comecou;nao;nao;morfemico;verbo;masculino;15M19;final
primeira;nao;nao;nao morfemico;nao verbo;masculino;15M19;final
acompanhou;sim;nao;morfemico;verbo;masculino;15M19;final
mostrou;nao;nao;morfemico;verbo;masculino;15M19;final
deitados;sim;nao;morfemico;nao verbo;masculino;15M19;final
revolucionario;sim;nao;nao morfemico;nao verbo;masculino;15M19;final
beijo;nao;nao;nao morfemico;nao verbo;masculino;15M19;final
dinheiro;nao;nao;nao morfemico;nao verbo;masculino;15M19;final
ouviu;nao;nao;morfemico;verbo;feminino;18F18;inicio
poupava;sim;nao;morfemico;verbo;feminino;18F18;inicio
entrou;nao;nao;morfemico;verbo;feminino;18F18;inicio
pouco;nao;nao;nao morfemico;nao verbo;feminino;18F18;inicio
passageira;sim;nao;nao morfemico;nao verbo;feminino;18F18;inicio
beijava;sim;nao;morfemico;verbo;feminino;18F18;inicio
apaixonadamente;nao;nao;nao morfemico;nao verbo;feminino;18F18;inicio
deitado;sim;nao;nao morfemico;nao verbo;feminino;18F18;inicio
comecou;sim;nao;morfemico;verbo;feminino;18F18;inicio
primeira;nao;nao;nao morfemico;nao verbo;feminino;18F18;inicio
acompanhou;sim;nao;morfemico;verbo;feminino;18F18;inicio
mostrou;sim;nao;morfemico;verbo;feminino;18F18;inicio
deitados;sim;nao;morfemico;nao verbo;feminino;18F18;inicio
revolucionario;sim;nao;nao morfemico;nao verbo;feminino;18F18;inicio
beijo;nao;nao;nao morfemico;nao verbo;feminino;18F18;inicio
dinheiro;nao;nao;nao morfemico;nao verbo;feminino;18F18;inicio
ouviu;nao;nao;morfemico;verbo;feminino;19F18;inicio
poupava;nao;nao;morfemico;verbo;feminino;19F18;inicio
entrou;nao;nao;morfemico;verbo;feminino;19F18;inicio
pouco;nao;nao;nao morfemico;nao verbo;feminino;19F18;inicio
passageira;sim;nao;nao morfemico;nao verbo;feminino;19F18;inicio
beijava;nao;nao;morfemico;verbo;feminino;19F18;inicio
